,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,Year,HOME_TEAM,VISITOR_TEAM
24,2019-01-06,21800590,Final,1610612756,1610612766,2018,1610612756,113.0,0.518,0.895,0.4,23.0,36.0,1610612766,119.0,0.484,0.706,0.28,22.0,46.0,0,2019,Suns,Hornets
25,2020-02-04,21900752,Final,1610612745,1610612766,2019,1610612745,125.0,0.4429999999999999,0.826,0.3329999999999999,25.0,41.0,1610612766,110.0,0.47,0.792,0.3939999999999999,22.0,53.0,1,2020,Rockets,Hornets
26,2019-03-11,21801004,Final,1610612745,1610612766,2018,1610612745,118.0,0.418,0.926,0.395,25.0,55.0,1610612766,106.0,0.4270000000000001,0.933,0.39,23.0,39.0,1,2019,Rockets,Hornets
27,2020-01-04,21900530,Final,1610612742,1610612766,2019,1610612742,120.0,0.47,0.846,0.3,28.0,41.0,1610612766,123.0,0.494,0.903,0.44,27.0,53.0,0,2020,Mavericks,Hornets
28,2019-02-06,21800807,Final,1610612742,1610612766,2018,1610612742,99.0,0.4039999999999999,0.706,0.306,25.0,57.0,1610612766,93.0,0.4039999999999999,0.706,0.243,17.0,47.0,1,2019,Mavericks,Hornets
29,2019-10-30,21900064,Final,1610612758,1610612766,2019,1610612758,111.0,0.4579999999999999,0.75,0.304,26.0,39.0,1610612766,118.0,0.5479999999999999,0.7140000000000001,0.5,30.0,46.0,0,2019,Kings,Hornets
30,2019-01-12,21800636,Final,1610612758,1610612766,2018,1610612758,104.0,0.414,0.667,0.3779999999999999,27.0,49.0,1610612766,97.0,0.409,0.591,0.3329999999999999,21.0,56.0,1,2019,Kings,Hornets
31,2019-10-28,21900051,Final,1610612746,1610612766,2019,1610612746,111.0,0.482,0.905,0.364,23.0,44.0,1610612766,96.0,0.434,0.7140000000000001,0.359,24.0,38.0,1,2019,Clippers,Hornets
32,2019-01-08,21800606,Final,1610612746,1610612766,2018,1610612746,128.0,0.516,0.857,0.467,28.0,45.0,1610612766,109.0,0.4,0.862,0.364,20.0,43.0,1,2019,Clippers,Hornets
33,2019-11-10,21900134,Final,1610612755,1610612766,2019,1610612755,114.0,0.5479999999999999,0.75,0.357,29.0,49.0,1610612766,106.0,0.452,0.727,0.424,22.0,31.0,1,2019,76ers,Hornets
34,2020-01-02,21900508,Final,1610612739,1610612766,2019,1610612739,106.0,0.506,0.7859999999999999,0.371,26.0,42.0,1610612766,109.0,0.446,0.833,0.395,25.0,39.0,0,2020,Cavaliers,Hornets
35,2019-12-18,21900407,Final,1610612739,1610612766,2019,1610612739,100.0,0.541,0.765,0.2689999999999999,25.0,48.0,1610612766,98.0,0.407,0.611,0.351,25.0,35.0,1,2019,Cavaliers,Hornets
36,2019-04-09,21801209,Final,1610612739,1610612766,2018,1610612739,97.0,0.449,0.75,0.3670000000000001,24.0,41.0,1610612766,124.0,0.5770000000000001,0.706,0.5,35.0,37.0,0,2019,Cavaliers,Hornets
37,2020-03-11,21900970,Final,1610612748,1610612766,2019,1610612748,98.0,0.464,0.833,0.341,32.0,36.0,1610612766,109.0,0.451,0.818,0.5,20.0,50.0,0,2020,Heat,Hornets
38,2019-11-25,21900245,Final,1610612748,1610612766,2019,1610612748,117.0,0.519,0.857,0.419,29.0,49.0,1610612766,100.0,0.414,0.76,0.273,25.0,35.0,1,2019,Heat,Hornets
39,2019-03-17,21801045,Final,1610612748,1610612766,2018,1610612748,93.0,0.395,0.632,0.3939999999999999,25.0,55.0,1610612766,75.0,0.313,0.889,0.1939999999999999,11.0,44.0,1,2019,Heat,Hornets
40,2019-11-30,21900283,Final,1610612749,1610612766,2019,1610612749,137.0,0.563,0.6,0.455,41.0,53.0,1610612766,96.0,0.366,0.875,0.3329999999999999,21.0,53.0,1,2019,Bucks,Hornets
41,2019-03-09,21800990,Final,1610612749,1610612766,2018,1610612749,131.0,0.489,0.867,0.386,27.0,55.0,1610612766,114.0,0.473,0.7859999999999999,0.385,25.0,35.0,1,2019,Bucks,Hornets
42,2019-01-25,21800727,Final,1610612749,1610612766,2018,1610612749,108.0,0.461,0.87,0.1939999999999999,17.0,46.0,1610612766,99.0,0.4,0.68,0.256,20.0,53.0,1,2019,Bucks,Hornets
43,2020-02-12,21900813,Final,1610612750,1610612766,2019,1610612750,108.0,0.386,0.8,0.286,25.0,48.0,1610612766,115.0,0.467,0.652,0.412,22.0,52.0,0,2020,Timberwolves,Hornets
44,2020-01-10,21900574,Final,1610612762,1610612766,2019,1610612762,109.0,0.506,0.7859999999999999,0.429,28.0,40.0,1610612766,92.0,0.467,0.737,0.308,20.0,37.0,1,2020,Jazz,Hornets
45,2019-04-01,21801159,Final,1610612762,1610612766,2018,1610612762,111.0,0.481,0.769,0.429,30.0,47.0,1610612766,102.0,0.4,0.7929999999999999,0.233,15.0,44.0,1,2019,Jazz,Hornets
46,2020-03-09,21900957,Final,1610612737,1610612766,2019,1610612737,143.0,0.552,0.593,0.488,33.0,53.0,1610612766,138.0,0.471,0.913,0.396,31.0,35.0,1,2020,Hawks,Hornets
47,2019-02-09,21800827,Final,1610612737,1610612766,2018,1610612737,120.0,0.535,0.737,0.424,26.0,36.0,1610612766,129.0,0.545,0.778,0.452,30.0,37.0,0,2019,Hawks,Hornets
48,2019-12-11,21900360,Final,1610612751,1610612766,2019,1610612751,108.0,0.4320000000000001,0.667,0.263,20.0,52.0,1610612766,113.0,0.409,0.813,0.429,20.0,47.0,0,2019,Nets,Hornets
49,2019-11-20,21900205,Final,1610612751,1610612766,2019,1610612751,101.0,0.4,0.826,0.256,19.0,53.0,1610612766,91.0,0.37,0.769,0.3329999999999999,17.0,41.0,1,2019,Nets,Hornets
50,2019-03-01,21800929,Final,1610612751,1610612766,2018,1610612751,112.0,0.512,0.778,0.313,27.0,37.0,1610612766,123.0,0.532,0.8240000000000001,0.429,24.0,40.0,0,2019,Nets,Hornets
51,2020-02-10,21900793,Final,1610612765,1610612766,2019,1610612765,76.0,0.354,0.846,0.2,21.0,52.0,1610612766,87.0,0.375,0.857,0.25,19.0,45.0,0,2020,Pistons,Hornets
52,2019-11-29,21900268,Final,1610612765,1610612766,2019,1610612765,107.0,0.494,0.5,0.429,27.0,45.0,1610612766,110.0,0.482,0.733,0.5,26.0,37.0,0,2019,Pistons,Hornets
53,2019-04-07,21801198,Final,1610612765,1610612766,2018,1610612765,91.0,0.37,0.867,0.244,20.0,55.0,1610612766,104.0,0.4320000000000001,0.7829999999999999,0.3229999999999999,23.0,44.0,0,2019,Pistons,Hornets
54,2020-02-20,21900823,Final,1610612741,1610612766,2019,1610612741,93.0,0.425,0.632,0.226,24.0,38.0,1610612766,103.0,0.473,0.862,0.286,22.0,44.0,0,2020,Bulls,Hornets
55,2019-12-13,21900375,Final,1610612741,1610612766,2019,1610612741,73.0,0.3,0.857,0.206,20.0,45.0,1610612766,83.0,0.38,0.81,0.1939999999999999,21.0,60.0,0,2019,Bulls,Hornets
56,2019-10-27,21900040,Final,1610612747,1610612766,2019,1610612747,120.0,0.527,0.7859999999999999,0.355,30.0,47.0,1610612766,101.0,0.385,0.913,0.286,19.0,45.0,1,2019,Lakers,Hornets
57,2019-03-29,21801135,Final,1610612747,1610612766,2018,1610612747,129.0,0.56,0.75,0.474,34.0,44.0,1610612766,115.0,0.477,0.941,0.385,26.0,37.0,1,2019,Lakers,Hornets
58,2020-01-13,21900595,Final,1610612757,1610612766,2019,1610612757,115.0,0.506,0.789,0.4320000000000001,26.0,47.0,1610612766,112.0,0.444,0.778,0.474,24.0,42.0,1,2020,Trail Blazers,Hornets
59,2019-01-11,21800628,Final,1610612757,1610612766,2018,1610612757,127.0,0.5589999999999999,0.889,0.375,31.0,47.0,1610612766,96.0,0.4,0.688,0.433,23.0,43.0,1,2019,Trail Blazers,Hornets
60,2020-02-01,21900734,Final,1610612759,1610612766,2019,1610612759,114.0,0.517,0.667,0.357,27.0,44.0,1610612766,90.0,0.422,0.833,0.278,29.0,37.0,1,2020,Spurs,Hornets
61,2019-01-14,21800647,Final,1610612759,1610612766,2018,1610612759,93.0,0.4629999999999999,0.833,0.35,21.0,36.0,1610612766,108.0,0.467,0.818,0.361,24.0,45.0,0,2019,Spurs,Hornets
62,2019-11-02,21900083,Final,1610612744,1610612766,2019,1610612744,87.0,0.442,0.769,0.321,23.0,40.0,1610612766,93.0,0.424,0.696,0.172,18.0,48.0,0,2019,Warriors,Hornets
63,2019-03-31,21801150,Final,1610612744,1610612766,2018,1610612744,137.0,0.602,0.833,0.636,41.0,50.0,1610612766,90.0,0.353,0.88,0.25,24.0,28.0,1,2019,Warriors,Hornets
64,2020-08-24,41900104,Final,1610612753,1610612749,2019,1610612753,106.0,0.414,0.8,0.4,26.0,43.0,1610612749,121.0,0.495,0.667,0.415,29.0,49.0,0,2020,Magic,Bucks
65,2020-08-22,41900103,Final,1610612753,1610612749,2019,1610612753,107.0,0.452,0.857,0.487,24.0,35.0,1610612749,121.0,0.561,0.706,0.459,27.0,43.0,0,2020,Magic,Bucks
66,2020-02-08,21900777,Final,1610612753,1610612749,2019,1610612753,95.0,0.3779999999999999,0.7859999999999999,0.25,28.0,46.0,1610612749,111.0,0.452,0.75,0.385,26.0,62.0,0,2020,Magic,Bucks
67,2019-11-01,21900071,Final,1610612753,1610612749,2019,1610612753,91.0,0.374,0.647,0.324,21.0,40.0,1610612749,123.0,0.505,0.667,0.362,24.0,58.0,0,2019,Magic,Bucks
68,2019-01-19,21800682,Final,1610612753,1610612749,2018,1610612753,108.0,0.473,0.667,0.4379999999999999,31.0,32.0,1610612749,118.0,0.5529999999999999,0.8,0.4,22.0,46.0,0,2019,Magic,Bucks
69,2020-08-11,21901303,Final,1610612764,1610612749,2019,1610612764,113.0,0.411,0.767,0.343,22.0,44.0,1610612749,126.0,0.506,0.714,0.474,25.0,53.0,0,2020,Wizards,Bucks
70,2020-02-24,21900851,Final,1610612764,1610612749,2019,1610612764,134.0,0.48,0.758,0.429,27.0,41.0,1610612749,137.0,0.57,0.815,0.4589999999999999,26.0,45.0,0,2020,Wizards,Bucks
71,2019-10-13,11900051,Final,1610612764,1610612749,2019,1610612764,108.0,0.4320000000000001,0.5,0.413,24.0,42.0,1610612749,115.0,0.5,0.958,0.353,26.0,44.0,0,2019,Wizards,Bucks
72,2019-02-02,21800778,Final,1610612764,1610612749,2018,1610612764,115.0,0.462,0.731,0.303,28.0,46.0,1610612749,131.0,0.495,1.0,0.436,30.0,46.0,0,2019,Wizards,Bucks
73,2019-01-11,21800622,Final,1610612764,1610612749,2018,1610612764,113.0,0.488,0.75,0.545,28.0,43.0,1610612749,106.0,0.449,0.765,0.325,26.0,43.0,1,2019,Wizards,Bucks
74,2020-08-13,21901311,Final,1610612763,1610612749,2019,1610612763,119.0,0.5,0.696,0.394,36.0,55.0,1610612749,106.0,0.398,0.652,0.317,27.0,45.0,1,2020,Grizzlies,Bucks
75,2019-12-13,21900376,Final,1610612763,1610612749,2019,1610612763,114.0,0.3879999999999999,0.7829999999999999,0.408,27.0,45.0,1610612749,127.0,0.506,0.848,0.3670000000000001,22.0,55.0,0,2019,Grizzlies,Bucks
76,2019-01-16,21800660,Final,1610612763,1610612749,2018,1610612763,101.0,0.389,0.68,0.3229999999999999,29.0,48.0,1610612749,111.0,0.476,0.8640000000000001,0.353,27.0,50.0,0,2019,Grizzlies,Bucks
77,2020-02-12,21900810,Final,1610612754,1610612749,2019,1610612754,118.0,0.523,0.792,0.3329999999999999,28.0,44.0,1610612749,111.0,0.407,0.96,0.351,18.0,44.0,1,2020,Pacers,Bucks
78,2019-11-16,21900176,Final,1610612754,1610612749,2019,1610612754,83.0,0.32,0.778,0.353,19.0,54.0,1610612749,102.0,0.4479999999999999,0.7140000000000001,0.282,23.0,55.0,0,2019,Pacers,Bucks
79,2019-02-13,21800854,Final,1610612754,1610612749,2018,1610612754,97.0,0.42,0.867,0.37,22.0,43.0,1610612749,106.0,0.442,0.7240000000000001,0.29,22.0,52.0,0,2019,Pacers,Bucks
80,2020-02-25,21900858,Final,1610612761,1610612749,2019,1610612761,97.0,0.352,0.7140000000000001,0.346,21.0,43.0,1610612749,108.0,0.381,0.833,0.3329999999999999,23.0,53.0,0,2020,Raptors,Bucks
81,2019-05-25,41800306,Final,1610612761,1610612749,2018,1610612761,100.0,0.486,0.727,0.444,20.0,38.0,1610612749,94.0,0.4,0.71,0.353,19.0,42.0,1,2019,Raptors,Bucks
82,2019-05-21,41800304,Final,1610612761,1610612749,2018,1610612761,120.0,0.471,0.889,0.341,32.0,44.0,1610612749,102.0,0.4629999999999999,0.654,0.314,30.0,40.0,1,2019,Raptors,Bucks
83,2019-05-19,41800303,Final,1610612761,1610612749,2018,1610612761,118.0,0.392,0.8079999999999999,0.3779999999999999,28.0,55.0,1610612749,112.0,0.373,0.667,0.318,22.0,63.0,1,2019,Raptors,Bucks
